"","ID","Regulator","ExamDate","BankName","City","State","AssetSize","ExamMethod","Rating","UnknownVariable","MeanRankingbyQuarterwithinCity","MeanRankingbyCity","GEOID","UATYPE","LAT","LON","ExamDate_d"
"10933",2670818,2,"1/18/00","FAMILY SCTY BK","BROOKINGS","OR",26004,2,2,NA,2,2,10621,"C",42.052622,-124.268979,2000-01-18
"10934",20866,2,"2/5/96","HOME VALLEY BK","CAVE JUNCTION","OR",31979,2,2,NA,2,2,NA,"",42.16289,-123.64812,1996-02-05
"10935",22402,3,"5/12/90","CRATER BANK","CENTRAL POINT","OR",14000,9,2,NA,2,2,NA,"",42.416384,-122.917383,1990-05-12
"10936",6016,3,"6/23/90","SECURITY BANK","COOS BAY","OR",83000,9,2,NA,1.25,1.5,19936,"C",43.379458,-124.2437,1990-06-23
"10937",9482,3,"12/1/92","WESTERN BANK","COOS BAY","OR",548000,9,2,NA,2,1.5,19936,"C",43.379458,-124.2437,1992-12-01
"10938",17809,3,"8/1/17","CITIZENS BANK","CORVALLIS","OR",723263,7,2,NA,2,2,20422,"U",44.575091,-123.287357,2017-08-01
"10939",22677,3,"12/1/92","WESTERN OREGON COMMUNITY BANK","COTTAGE GROVE","OR",21000,9,2,NA,2,2,20503,"C",43.789158,-123.062803,1992-12-01
"10940",19748,3,"4/3/91","BANK OF WILLAMETTE VALLEY","DALLAS","OR",25000,9,2,NA,2,2,22015,"C",44.921879,-123.30997,1991-04-03
"10941",7661,4,"9/5/00","LIBERTYBANK","EUGENE","OR",407170,1,2,NA,2,1.962962963,28117,"U",44.065995,-123.076636,2000-09-05
"10942",20774,3,"8/1/11","PACIFIC CONTINENTAL BANK","EUGENE","OR",1211990,1,2,NA,2,1.962962963,28117,"U",44.065995,-123.076636,2011-08-01
"10943",19006,3,"2/1/04","SIUSLAW VALLEY BANK","FLORENCE","OR",216950,2,2,NA,2,1.846153846,30034,"C",43.994236,-124.108268,2004-02-01
"10944",19006,3,"10/1/09","SIUSLAW BANK","FLORENCE","OR",282533,2,2,NA,1.666666667,1.846153846,30034,"C",43.994236,-124.108268,2009-10-01
"10945",161965,2,"10/28/96","VALLEY CMRL BK","FOREST GROVE","OR",26719,2,2,NA,2,2,NA,"",45.598052,-123.1818,1996-10-28
"10946",2610,4,"9/28/04","EVERGREEN FS & LA","GRANTS PASS","OR",317425,2,1,NA,1.333333333,1.6,34516,"U",42.43003,-123.321116,2004-09-28
"10947",702610,1,"9/7/11","EVERGREEN FS & LA","GRANTS PASS","OR",370862,7,1,NA,1,1.6,34516,"U",42.43003,-123.321116,2011-09-07
"10948",34093,3,"8/1/01","THE MERCHANTS BANK","GRESHAM","OR",115483,2,2,NA,2,2,NA,"",45.508117,-122.430233,2001-08-01
"10949",34093,3,"1/1/16","MBANK","GRESHAM","OR",177089,2,2,NA,2,2,NA,"",45.508117,-122.430233,2016-01-01
"10950",16243,3,"9/1/17","BANK OF EASTERN OREGON","HEPPNER","OR",376738,7,2,NA,2,1.666666667,NA,"",45.301332,-119.577731,2017-09-01
"10951",16676,3,"2/1/00","INLAND EMPIRE BANK","HERMISTON","OR",203133,2,2,NA,2,1.8,38485,"C",45.859166,-119.286137,2000-02-01
