"","City","State","MeanRankingbyCity","GEOID","UATYPE","LAT","LON","TotalAssets","NumBanks","AvgRating","Banks","cdfi_amt","NumCDFIs","CDFIs"
"6564","RIDGECREST","CA",2,74827,"C",35.625919,-117.684029,13257,1,2,"MONUMENT NATIONAL BANK",NA,NA,NA
"6565","RIDGEFIELD","CT",2,NA,"",41.308201,-73.494637,2874703,3,2,"RIDGEFIELD BANK, FAIRFIELD COUNTY BANK CORP., FAIRFIELD COUNTY BANK",NA,NA,NA
"6566","RIDGEFIELD PARK","NJ",2.5,NA,"",40.853449,-74.021233,288080,1,2,"PALISADE SAVINGS BANK, F.S.B.",NA,NA,NA
"6567","RIDGELAND","WI",2,NA,"",45.168279,-91.875797,31433,1,2,"FARMERS STATE BANK",NA,NA,NA
"6568","RIDGEWAY","SC",2,NA,"",34.306879,-80.926792,90799,1,2,"BANK OF RIDGEWAY",NA,NA,NA
"6569","RIDGEWOOD","NJ",2.333333333,NA,"",40.982247,-74.11207,375233,2,2,"RIDGEWOOD SAVINGS BANK, RIDGEWOOD SAVINGS BANK OF NEW JERSEY",NA,NA,NA
"6570","RIDGEWOOD","NY",2,NA,"",40.702404,-73.885979,7696297,2,2,"HOME FEDERAL SAVINGS BANK, RIDGEWOOD SAVINGS BANK",290018,1,"Ridgewood Saving Bank"
"6571","RIDGWAY","IL",2,NA,"",37.796978,-88.243498,104000,2,2,"GALLATIN COUNTY STATE BANK, BANTERRA BANK OF GALLATIN COUNTY",NA,NA,NA
"6572","RIDGWAY","PA",2.285714286,74908,"C",41.42649,-78.732883,54657,2,3,"ELK COUNTY S & LA, PEOPLES SAVINGS BANK",NA,NA,NA
"6573","RIESEL","TX",2,NA,"",31.48862,-96.944644,372353,2,2,"FIRST STATE BANK, TEXAS FIRST STATE BANK",NA,NA,NA
"6574","RIFLE","CO",2,74935,"C",39.540585,-107.773443,36170,1,2,"THE REGIONAL BANK OF RIFLE, N.A.",NA,NA,NA
"6575","RILEY","KS",2,NA,"",39.300456,-96.822207,75505,1,2,"THE RILEY STATE BANK OF RILEY, KANSAS",NA,NA,NA
"6576","RINCON","GA",2,74989,"C",32.281366,-81.227939,24983,1,2,"EFFINGHAM BANK & TRUST",NA,NA,NA
"6577","RINGGOLD","GA",1.916666667,NA,"",34.888709,-85.118699,545726,1,2,"NORTHWEST GEORGIA BANK",NA,NA,NA
"6578","RINGGOLD","LA",2,NA,"",32.32849,-93.27989,64340,1,2,"BANK OF RINGGOLD",NA,NA,NA
"6579","RINGLING","OK",2,NA,"",34.17843,-97.59253,31089,1,2,"RINGLING STATE BANK",NA,NA,NA
"6580","RIO RANCHO","NM",2,NA,"",35.268498,-106.783682,115932,2,2,"SUNWEST BANK OF SANDOVAL, UNITED NEW MEXICO BANK AT RIO RANCHO",NA,NA,NA
"6581","RIO VISTA","CA",2,75097,"C",38.170338,-121.701949,166589,1,2,"BANK OF RIO VISTA",233389,1,"Bank of Rio Vista"
"6582","RIO VISTA","TX",1.25,NA,"",32.23348,-97.37446,203000,1,1,"FIRST STATE BANK",NA,NA,NA
"6583","RIPLEY","MS",2,75124,"C",34.734432,-88.949267,356484,1,2,"THE PEOPLES BANK",NA,NA,NA
"6584","RIPLEY","OH",1.818181818,NA,"",38.758164,-83.822146,102567,2,2,"RIPLEY NATIONAL BANK, RIPLEY FEDERAL SAVINGS BANK",NA,NA,NA
"6585","RIPLEY","TN",1.666666667,75151,"C",35.736154,-89.541381,258204,2,2,"FARMERS UNION BANK, BANK OF RIPLEY",NA,NA,NA
"6586","RIPON","WI",1.666666667,75205,"C",43.844864,-88.839453,185514,2,1.5,"VALLEY FIRST NATIONAL BANK OF RIPON, M&I CENTRAL STATE BANK",NA,NA,NA
